,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
0,2024-10-24T00:38:44.840Z,28.6659,52.1336,10.0,4.8,mb,67.0,51.0,5.192,0.61,us,us7000nms2,2024-10-24T00:51:05.040Z,"47 km WSW of Fīrūzābād, Iran",earthquake,6.32,1.894,0.055,102.0,reviewed,us,us
3,2024-10-23T22:36:00.656Z,-24.3221,-67.0919,180.323,4.5,mb,31.0,75.0,1.689,0.85,us,us7000nmrh,2024-10-23T22:59:46.040Z,"79 km W of San Antonio de los Cobres, Argentina",earthquake,9.3,7.478,0.124,19.0,reviewed,us,us
4,2024-10-23T21:30:10.973Z,-27.8215,-176.6164,10.0,5.1,mb,71.0,69.0,1.829,0.95,us,us7000nmra,2024-10-23T22:00:18.040Z,Kermadec Islands region,earthquake,9.76,1.54,0.052,120.0,reviewed,us,us
7,2024-10-23T19:20:52.765Z,-17.7988,-174.9545,213.179,4.9,mb,32.0,66.0,4.927,0.77,us,us7000nmqr,2024-10-23T20:03:17.040Z,"139 km NW of Neiafu, Tonga",earthquake,10.97,7.599,0.088,40.0,reviewed,us,us
11,2024-10-23T17:49:33.489Z,-24.0439,-66.9871,177.8,4.4,mb,32.0,107.0,1.542,0.51,us,us7000nmpt,2024-10-23T19:29:57.040Z,"70 km WNW of San Antonio de los Cobres, Argentina",earthquake,11.43,6.582,0.127,18.0,reviewed,us,us
17,2024-10-23T14:38:05.139Z,49.401,155.6979,48.564,6.2,mww,203.0,38.0,3.919,0.86,us,us7000nmlt,2024-10-23T16:45:57.323Z,"145 km SSW of Severo-Kuril’sk, Russia",earthquake,7.91,6.165,0.037,69.0,reviewed,us,us
20,2024-10-23T13:45:18.377Z,23.6517,141.8982,108.359,4.7,mb,61.0,109.0,3.439,0.73,us,us7000nmln,2024-10-23T15:10:19.040Z,"Volcano Islands, Japan region",earthquake,12.51,7.749,0.049,133.0,reviewed,us,us
24,2024-10-23T09:37:12.797Z,-19.1671,-69.3145,113.557,4.4,mb,35.0,94.0,0.511,1.6,us,us7000nmky,2024-10-23T10:17:47.040Z,"19 km NE of Camiña, Chile",earthquake,7.64,7.429,0.097,31.0,reviewed,us,us
25,2024-10-23T09:12:48.109Z,-9.1684,114.0096,78.651,4.4,mb,22.0,64.0,0.708,0.77,us,us7000nmkv,2024-10-23T18:42:04.670Z,"86 km S of Gambiran Satu, Indonesia",earthquake,8.31,7.062,0.138,15.0,reviewed,us,us
28,2024-10-23T06:12:21.304Z,-8.6552,120.419,151.287,4.4,mb,24.0,75.0,1.798,0.84,us,us7000nmk4,2024-10-23T07:16:24.040Z,"6 km SW of Ruteng, Indonesia",earthquake,8.58,6.878,0.149,13.0,reviewed,us,us
29,2024-10-23T06:05:14.093Z,-40.9535,-91.4091,10.0,5.0,mb,72.0,148.0,13.739,1.04,us,us7000nmk2,2024-10-23T06:43:15.040Z,West Chile Rise,earthquake,12.9,1.884,0.052,116.0,reviewed,us,us
33,2024-10-23T03:12:10.339Z,31.0355,140.8554,72.78,4.7,mb,47.0,97.0,2.254,0.55,us,us7000nmjm,2024-10-23T22:34:24.040Z,"Izu Islands, Japan region",earthquake,11.7,6.123,0.087,40.0,reviewed,us,us
34,2024-10-23T00:21:45.510Z,37.6361,-20.2312,10.0,4.3,mb,15.0,112.0,4.2,0.99,us,us7000nmj1,2024-10-23T12:53:07.366Z,Azores Islands region,earthquake,12.32,1.94,0.137,15.0,reviewed,us,us
35,2024-10-23T00:13:03.221Z,-21.7055,-68.6304,139.116,4.4,mb,26.0,48.0,0.576,0.55,us,us7000nmiy,2024-10-23T00:25:24.040Z,"66 km SW of Ollagüe, Chile",earthquake,7.01,8.311,0.161,11.0,reviewed,us,us
37,2024-10-22T22:18:04.096Z,16.717,-99.1767,56.281,4.9,mww,103.0,158.0,1.024,0.78,us,us7000nmi9,2024-10-23T12:57:36.415Z,"5 km W of Cruz Grande, Mexico",earthquake,8.85,7.513,0.053,34.0,reviewed,us,us
38,2024-10-22T22:02:10.890Z,22.0801,121.3815,10.0,4.4,mb,29.0,115.0,0.785,1.13,us,us7000nmi6,2024-10-23T09:57:50.833Z,"66 km E of Hengchun, Taiwan",earthquake,4.5,1.897,0.149,13.0,reviewed,us,us
39,2024-10-22T20:12:44.125Z,2.7403,-84.2952,10.0,4.4,mb,38.0,179.0,5.631,0.98,us,us7000nmhi,2024-10-22T20:59:19.040Z,off the coast of Central America,earthquake,11.28,1.955,0.13,17.0,reviewed,us,us
41,2024-10-22T19:49:32.363Z,2.7288,-84.4067,10.0,4.6,mb,64.0,80.0,5.736,0.88,us,us7000nmhe,2024-10-23T15:51:14.150Z,off the coast of Central America,earthquake,9.26,1.867,0.078,49.0,reviewed,us,us
43,2024-10-22T16:12:13.083Z,27.814,-111.3507,10.0,4.3,mb,91.0,168.0,1.252,0.69,us,us7000nmgf,2024-10-23T17:33:38.040Z,"34 km WSW of San Carlos, Mexico",earthquake,7.8,1.958,0.067,67.0,reviewed,us,us
45,2024-10-22T15:45:37.672Z,-23.8293,-179.7206,463.18,5.5,mww,95.0,75.0,5.627,0.59,us,us7000nmg9,2024-10-23T17:42:52.533Z,south of the Fiji Islands,earthquake,10.43,6.121,0.073,18.0,reviewed,us,us
46,2024-10-22T12:48:54.037Z,-1.0635,127.374,10.0,4.9,mb,86.0,80.0,1.823,0.52,us,us7000nmeb,2024-10-22T13:36:14.040Z,"49 km SSW of Labuha, Indonesia",earthquake,6.78,1.852,0.07,67.0,reviewed,us,us
47,2024-10-22T12:43:52.670Z,-7.861,108.3777,89.798,4.9,mb,63.0,28.0,0.823,0.79,us,us7000nmea,2024-10-23T12:56:39.666Z,"56 km SSE of Kawalu, Indonesia",earthquake,6.92,6.37,0.082,47.0,reviewed,us,us
48,2024-10-22T12:08:33.285Z,-3.048,147.4333,10.0,5.0,mb,57.0,49.0,4.855,0.61,us,us7000nme7,2024-10-23T13:29:06.040Z,"113 km S of Lorengau, Papua New Guinea",earthquake,7.1,1.843,0.085,44.0,reviewed,us,us
50,2024-10-22T05:56:47.791Z,18.4881,145.252,492.99,4.4,mb,61.0,61.0,3.27,0.62,us,us7000nmdm,2024-10-22T08:20:40.040Z,"Pagan region, Northern Mariana Islands",earthquake,12.32,4.881,0.041,168.0,reviewed,us,us
54,2024-10-22T02:36:18.744Z,-6.0572,130.3925,10.0,5.1,mb,68.0,43.0,1.6,0.59,us,us7000nmcs,2024-10-22T03:06:24.040Z,"265 km W of Tual, Indonesia",earthquake,8.62,1.757,0.08,51.0,reviewed,us,us
55,2024-10-22T01:12:37.703Z,36.2205,141.2627,35.0,4.6,mb,40.0,151.0,2.485,0.6,us,us7000nmck,2024-10-22T02:44:12.040Z,"61 km E of Ōarai, Japan",earthquake,7.55,1.897,0.107,26.0,reviewed,us,us
58,2024-10-21T22:40:02.729Z,40.6811,84.2321,10.0,4.1,mb,19.0,206.0,4.416,0.36,us,us7000nmcb,2024-10-21T22:58:29.040Z,"158 km SE of Kuqa, China",earthquake,12.28,2.007,0.185,8.0,reviewed,us,us
59,2024-10-21T21:12:10.968Z,-7.957,123.322,290.084,4.3,mb,22.0,103.0,1.267,1.06,us,us7000nmc7,2024-10-21T21:52:45.040Z,"142 km ENE of Maumere, Indonesia",earthquake,12.36,10.268,0.138,15.0,reviewed,us,us
60,2024-10-21T20:25:35.394Z,-17.7498,-178.6849,550.271,4.7,mb,85.0,78.0,2.249,0.68,us,us7000nmby,2024-10-21T20:49:50.040Z,"214 km E of Levuka, Fiji",earthquake,10.39,8.217,0.029,369.0,reviewed,us,us
